MUNICIPALITY,DISTRICT,LOCATIVE OF MUNICIPALITY,GPS
Újezd u Svatého Kříže,Rokycany,Újezdě u Svatého Kříže; Újezdu u Svatého Kříže,"49.85982688,13.56956086"
Chodský Újezd,Tachov,Chodském Újezdu; Chodském Újezdě,"49.86443159,12.64999418"
Týniště,Plzeň-jih,Týništi,"49.52118710,13.41763629"
Chlumec,Český Krumlov,Chlumci,"48.87033823,14.39588059"
Stružná,Karlovy Vary,Stružné,"50.18321471,13.00574975"
Střemošice,Chrudim,Střemošicích,"49.89159891,16.07210873"
Sudislav nad Orlicí,Ústí nad Orlicí,Sudislavi nad Orlicí,"49.98932521,16.31319756"
Suchdol,Kutná Hora,Suchdole; Suchdolu,"49.95252813,15.16657193"
Těškov,Rokycany,Těškově,"49.80228402,13.69808245"
Třebeň,Cheb,Třebeni,"50.12875453,12.40022636"
Andělská Hora,Karlovy Vary,Andělské Hoře,"50.20448970,12.96288291"
Lidice,Kladno,Lidicích,"50.14360355,14.19020055"
Dobev,Písek,Dobevi,"49.29580894,14.04712346"
Kozojedy,Plzeň-sever,Kozojedech,"49.93133251,13.54247001"
Velká Bukovina,Děčín,Velké Bukovině,"50.73050880,14.39687322"
Nový Kramolín,Domažlice,Novém Kramolíně,"49.47738685,12.80501591"
Pasečnice,Domažlice,Pasečnici,"49.39423977,12.89525959"
Postřekov,Domažlice,Postřekově,"49.45839040,12.80681924"
Blatce,Česká Lípa,Blatcích,"50.50295405,14.60323600"
Čakov,Benešov,Čakově,"49.82566073,14.83638550"
Čistěves,Hradec Králové,Čistěvsi,"50.28887568,15.73190912"
Heřmanov,Děčín,Heřmanově,"50.72655989,14.29131090"
Hněvotín,Olomouc,Hněvotíně,"49.57206482,17.17957002"
Chlumy,Plzeň-jih,Chlumech,"49.43784866,13.63864273"
Krchleby,Nymburk,Krchlebech,"50.23922549,15.02278412"
Břvany,Louny,Břvanech,"50.40123848,13.72162629"
Blatnička,Hodonín,Blatničce,"48.93551613,17.53004026"
Hrušov,Mladá Boleslav,Hrušově,"50.34493647,14.84645891"
Němčice,Pardubice,Němčicích,"50.09297341,15.80583097"
Nová Ves u Chýnova,Tábor,Nové Vsi u Chýnova,"49.39276728,14.78299859"
Myslkovice,Tábor,Myslkovicích,"49.29919131,14.74562280"
Pustá Kamenice,Svitavy,Pusté Kamenici,"49.75615298,16.08582476"
Seč,Ústí nad Orlicí,Seči,"50.02554596,16.29486529"
Hudčice,Příbram,Hudčicích,"49.53177203,13.92254917"
Dudín,Jihlava,Dudíně,"49.45106026,15.39763907"
Hlohovice,Rokycany,Hlohovicích,"49.88956627,13.64339978"
Lažany,Liberec,Lažanech,"50.60095728,15.10984314"
Lipinka,Olomouc,Lipince,"49.83779206,17.04999879"
Makotřasy,Kladno,Makotřasech,"50.14456094,14.21477247"
Poříčany,Kolín,Poříčanech,"50.10812802,14.91824966"
Řepníky,Ústí nad Orlicí,Řepníkách,"49.90151005,16.07965847"
Pohled,Havlíčkův Brod,Pohledu,"49.60369668,15.64810838"
Nezbavětice,Plzeň-město,Nezbavěticích,"49.65501560,13.47710692"
Nové Dvory,Kutná Hora,Nových Dvorech,"49.96826838,15.32796675"
Polní Chrčice,Kolín,Polních Chrčicích,"50.11006105,15.29676623"
Miloňovice,Strakonice,Miloňovicích,"49.22065283,13.95838898"
Kozojedy,Rakovník,Kozojedech,"50.25537289,13.81565777"
Libočany,Louny,Libočanech,"50.33347916,13.51357270"
Kunčina,Svitavy,Kunčině,"49.79457802,16.62768096"
Kunice,Blansko,Kunicích,"49.47885526,16.49076043"
Tupadly,Mělník,Tupadlech; Tupadlích,"50.44188357,14.47501760"
Orličky,Ústí nad Orlicí,Orličkách,"50.03155091,16.68153195"
Strašov,Pardubice,Strašově,"50.08751437,15.52276916"
Mysletín,Pelhřimov,Mysletíně,"49.47664684,15.36823923"
Okarec,Třebíč,Okarci,"49.20599621,16.08794708"
Mikulovice,Třebíč,Mikulovicích,"49.16170911,15.84660551"
Černilov,Hradec Králové,Černilově,"50.26268502,15.92261616"
Dobříč,Plzeň-sever,Dobříči,"49.88465105,13.46842585"
Dolní Cerekev,Jihlava,Dolní Cerekvi,"49.34454063,15.45657418"
Hartinkov,Svitavy,Hartinkově,"49.67912416,16.81397106"
Sádek,Příbram,Sádku,"49.73329872,13.98317471"
Sviny,Žďár nad Sázavou,Svinech,"49.36422742,16.08503412"
Tetín,Jičín,Tetíně,"50.42488374,15.63231669"
Trojovice,Chrudim,Trojovicích,"49.93286707,15.91962814"
Třebonín,Kutná Hora,Třeboníně,"49.86975929,15.31297798"
Třebotov,Praha-západ,Třebotově,"49.97252290,14.29133782"
Chyňava,Beroun,Chyňavě,"50.02744615,14.07405205"
Jivno,České Budějovice,Jivně,"48.99559180,14.56923074"
Cholenice,Jičín,Cholenicích,"50.32478269,15.28073947"
Velemín,Litoměřice,Velemíně,"50.53906945,13.97685040"
Česká Bělá,Havlíčkův Brod,České Bělé,"49.64296200,15.69100450"
Jaroměřice,Svitavy,Jaroměřicích,"49.62558492,16.75188832"
Jeníkov,Chrudim,Jeníkově,"49.74253121,15.95739232"
Křivsoudov,Benešov,Křivsoudově,"49.63303686,15.08740488"
Prusice,Praha-východ,Prusicích,"49.96842079,14.87792214"
Stříbrná Skalice,Praha-východ,Stříbrné Skalici,"49.89772982,14.84622167"
Meclov,Domažlice,Meclově,"49.50567883,12.88085771"
Rušinov,Havlíčkův Brod,Rušinově,"49.79192453,15.68309868"
Poběžovice u Přelouče,Pardubice,Poběžovicích u Přelouče,"49.99105128,15.58194849"
Popovice,Benešov,Popovicích,"49.69545874,14.75250316"
Proseč pod Křemešníkem,Pelhřimov,Proseči pod Křemešníkem,"49.41530239,15.29497407"
Ptýrov,Mladá Boleslav,Ptýrově,"50.50489420,14.94722146"
Rantířov,Jihlava,Rantířově,"49.40829907,15.51519036"
Rovná,Strakonice,Rovné,"49.28642613,13.95398002"
Řimovice,Benešov,Řimovicích,"49.69641066,14.94304861"
Bratronice,Strakonice,Bratronicích,"49.36534573,13.84238119"
Cerekvička-Rosice,Jihlava,Cerekvičce-Rosicích,"49.33441861,15.58731771"
Kněžice,Jihlava,Kněžicích,"49.27082740,15.67218697"
Kozlov,Havlíčkův Brod,Kozlově,"49.73461342,15.29301767"
Měšín,Jihlava,Měšíně,"49.43735346,15.65706108"
Senohraby,Praha-východ,Senohrabech,"49.89547049,14.71815216"
Modrá Hůrka,České Budějovice,Modré Hůrce,"49.18011424,14.52568354"
Modřovice,Příbram,Modřovicích,"49.61744420,13.95642360"
Neveklovice,Mladá Boleslav,Neveklovicích,"50.57019947,14.94847000"
Nová Ves u Mladé Vožice,Tábor,Nové Vsi u Mladé Vožice,"49.54310053,14.74800169"
Olešnice,Semily,Olešnici,"50.54500297,15.11929304"
Tovéř,Olomouc,Tovéři,"49.64003546,17.31905073"
Puclice,Domažlice,Puclicích,"49.55372479,13.01943768"
Rudolec,Žďár nad Sázavou,Rudolci,"49.47686439,15.83023350"
Strupčice,Chomutov,Strupčicích,"50.47111456,13.53063048"
Šemnice,Karlovy Vary,Šemnici,"50.23701528,12.97617982"
Štětkovice,Příbram,Štětkovicích,"49.67078196,14.50626126"
Židněves,Mladá Boleslav,Židněvsi,"50.41169053,14.99461575"
Višňová,Příbram,Višňové,"49.70587594,14.14551923"
Zvěřínek,Nymburk,Zvěřínku,"50.15324848,15.00581211"
Vyžlovka,Praha-východ,Vyžlovce,"49.98471788,14.78915325"
Přimda,Tachov,Přimdě,"49.67499575,12.67371000"
Prameny,Cheb,Pramenech,"50.05018873,12.73286507"
Česká Kubice,Domažlice,České Kubici,"49.36949165,12.85882874"
Draženov,Domažlice,Draženově,"49.45581535,12.87272722"
Hostouň,Domažlice,Hostouni,"49.55982565,12.77151094"
Nýrsko,Klatovy,Nýrsku,"49.29397779,13.14356098"
Plánice,Klatovy,Plánici,"49.39002802,13.47109354"
Rabí,Klatovy,Rabí,"49.28083773,13.61763725"
Dománovice,Kolín,Dománovicích,"50.11190958,15.32258582"
Kunratice,Děčín,Kunraticích,"50.81889382,14.41998151"
Kuřimské Jestřabí,Brno-venkov,Kuřimském Jestřabí; Kuřimském Jestřabím,"49.34660930,16.31395168"
Lety,Praha-západ,Letech,"49.92107564,14.25526587"
Lhůta,Plzeň-město,Lhůtě,"49.70192032,13.52786609"
Maršovice,Jablonec nad Nisou,Maršovicích,"50.69640971,15.19857283"
Žeretice,Jičín,Žereticích,"50.35359839,15.41182153"
Žlunice,Jičín,Žlunicích,"50.30217286,15.38205571"
Bystřice,Benešov,Bystřici,"49.73220344,14.66745134"
Hlubyně,Příbram,Hlubyni,"49.55974963,13.92328158"
Chlustina,Beroun,Chlustině,"49.87802575,13.91957894"
Mezilečí,Náchod,Mezilečí,"50.45340384,15.98327450"
Mezno,Benešov,Mezně,"49.53459028,14.64497529"
Ohrazenice,Semily,Ohrazenicích,"50.59770257,15.12606173"
Ledce,Kladno,Ledcích,"50.19650911,14.00506302"
Petrov,Blansko,Petrově,"49.53370086,16.48962354"
Prostřední Poříčí,Blansko,Prostředním Poříčí,"49.57219742,16.49758406"
Městečko,Rakovník,Městečku,"50.05072256,13.86363074"
Mutějovice,Rakovník,Mutějovicích,"50.19433975,13.70958681"
Nezabudice,Rakovník,Nezabudicích,"50.01325791,13.82218667"
Nové Strašecí,Rakovník,Novém Strašecí,"50.15280546,13.90050372"
Rynholec,Rakovník,Rynholci,"50.13801378,13.92229302"
Žerůtky,Znojmo,Žerůtkách,"48.90594747,15.96309380"
Chraštice,Příbram,Chrašticích,"49.57687154,14.07187018"
Lhota u Příbramě,Příbram,Lhotě u Příbramě,"49.71423621,13.98058614"
Hořany,Nymburk,Hořanech,"50.09767209,14.94586161"
Chrášťovice,Strakonice,Chrášťovicích,"49.33327626,13.89706530"
Koberovice,Pelhřimov,Koberovicích,"49.58762539,15.26290178"
Olšovice,Prachatice,Olšovicích,"49.05690148,14.23588364"
Nová Ves,Žďár nad Sázavou,Nové Vsi,"49.39104387,16.19630657"
Kosova Hora,Příbram,Kosově Hoře,"49.65421892,14.47177557"
Kotenčice,Příbram,Kotenčicích,"49.73637605,14.09386224"
Kovač,Jičín,Kovači,"50.39610078,15.47089620"
Kuničky,Blansko,Kuničkách,"49.43495141,16.68139068"
Libkova Voda,Pelhřimov,Libkově Vodě,"49.37655251,15.19103833"
Tvrzice,Prachatice,Tvrzicích,"49.12182480,13.96714728"
Radonín,Třebíč,Radoníně,"49.27974542,15.72415987"
Semtěš,Kutná Hora,Semtěši,"49.95998665,15.51436712"
Skály,Strakonice,Skálách; Skalách,"49.18346540,13.99287823"
Stožice,Strakonice,Stožicích,"49.13257491,14.15022395"
Běstvina,Chrudim,Běstvině,"49.83708339,15.59581708"
Biřkov,Klatovy,Biřkově,"49.51815256,13.23018839"
Boháňka,Jičín,Boháňce,"50.36583997,15.70846299"
Bořetice,Pelhřimov,Bořeticích,"49.49612554,15.10998262"
Brtnička,Jihlava,Brtničce,"49.23723001,15.62423460"
Bukovec,Domažlice,Bukovci,"49.58646141,12.99534922"
Butoves,Jičín,Butovsi,"50.38650236,15.42749481"
Čeložnice,Hodonín,Čeložnici; Čeložnicích,"49.05187920,17.15465858"
Křepice,Znojmo,Křepicích,"48.98742984,16.09740842"
Leškovice,Havlíčkův Brod,Leškovicích,"49.76294556,15.53705443"
Starovičky,Břeclav,Starovičkách,"48.90749131,16.77536990"
Hlubočky,Olomouc,Hlubočkách,"49.62758135,17.40256821"
Rejchartice,Šumperk,Rejcharticích,"50.02826697,16.97797566"
Záluží,Beroun,Záluží,"49.84278174,13.86054948"
Zásmuky,Kolín,Zásmukách; Zásmucích,"49.95476667,15.03064248"
Zvotoky,Strakonice,Zvotokách,"49.21246334,13.75767380"
Bohy,Plzeň-sever,Bohách; Bozích,"49.93799341,13.57573192"
Dolní Hořice,Tábor,Dolních Hořicích,"49.43544718,14.85056192"
Horní Poříčí,Blansko,Horním Poříčí,"49.58762602,16.47736898"
Huntířov,Děčín,Huntířově,"50.78951130,14.30353625"
Chlumany,Prachatice,Chlumanech,"49.06665328,13.96537494"
Opočnice,Nymburk,Opočnici,"50.17253719,15.25774528"
Ostrov,Havlíčkův Brod,Ostrově,"49.69305935,15.30143649"
Páleč,Kladno,Pálči,"50.31200795,14.04965971"
Pesvice,Chomutov,Pesvicích,"50.46330459,13.48496380"
Příbraz,Jindřichův Hradec,Příbrazi,"49.05143330,14.93761877"
Puklice,Jihlava,Puklicích,"49.36078089,15.65075995"
Rácovice,Třebíč,Rácovicích,"49.02100823,15.68692626"
Otvovice,Kladno,Otvovicích,"50.21163904,14.27299989"
Přerubenice,Rakovník,Přerubenicích,"50.21725459,13.84110115"
Přibyslav,Náchod,Přibyslavi,"50.37367904,16.16866798"
Stvolová,Blansko,Stvolové,"49.58924681,16.54047350"
Šluknov,Děčín,Šluknově,"51.00375935,14.45270927"
Třešovice,Strakonice,Třešovicích,"49.21140632,13.98137013"
Třeštice,Jihlava,Třeštici,"49.24555458,15.45323475"
Starý Vestec,Nymburk,Starém Vestci,"50.14375176,14.84600342"
Horní Meziříčko,Jindřichův Hradec,Horním Meziříčku,"49.15664090,15.24452398"
Horní Němčice,Jindřichův Hradec,Horních Němčicích,"49.15785626,15.27969507"
Stéblová,Pardubice,Stéblové,"50.09206972,15.74623899"
Lhota pod Hořičkami,Náchod,Lhotě pod Hořičkami,"50.42272768,16.00318525"
Libchyně,Náchod,Libchyni,"50.35688928,16.19083444"
Lochousice,Plzeň-sever,Lochousicích,"49.67520228,13.09049462"
Malovice,Prachatice,Malovicích,"49.09126396,14.22577692"
Mířkov,Domažlice,Mířkově,"49.58949050,12.88081064"
Tuklaty,Kolín,Tuklatech,"50.08484526,14.76956580"
Uhy,Kladno,Uhách,"50.28431095,14.27394281"
Újezd,Beroun,Újezdě; Újezdu,"49.83134011,13.83752539"
Újezd nade Mží,Plzeň-sever,Újezdě nade Mží; Újezdu nade Mží,"49.78885081,13.19512047"
Úmyslovice,Nymburk,Úmyslovicích,"50.20344849,15.17766381"
Chodová Planá,Tachov,Chodové Plané,"49.89332804,12.73020296"
Martiněves,Litoměřice,Martiněvsi,"50.37278254,14.15290620"
Pšánky,Hradec Králové,Pšánkách,"50.29413494,15.62096564"
Řitonice,Mladá Boleslav,Řitonicích,"50.40826780,15.10803351"
Samopše,Kutná Hora,Samopších,"49.86151284,14.92987819"
Sedlatice,Jihlava,Sedlaticích,"49.19234593,15.61341216"
Slunečná,Česká Lípa,Slunečné,"50.73584435,14.48259002"
Sudoměř,Mladá Boleslav,Sudoměři,"50.44505378,14.73946361"
Suchomasty,Beroun,Suchomastech,"49.89543924,14.05666671"
Šafov,Znojmo,Šafově,"48.86685388,15.73465529"
Tichonice,Benešov,Tichonicích,"49.77712514,14.99232891"
Byšice,Mělník,Byšicích,"50.31051259,14.61144495"
Dolní Dubňany,Znojmo,Dolních Dubňanech,"49.05582360,16.22670553"
Chotovice,Česká Lípa,Chotovicích,"50.74035697,14.55938122"
Chudenín,Klatovy,Chudeníně,"49.29314985,13.10082615"
Javorník,Benešov,Javorníku; Javorníce,"49.68655863,15.02657829"
Javorník,Ústí nad Orlicí,Javorníku; Javorníce,"49.88950277,16.15606865"
Kmetiněves,Kladno,Kmetiněvsi,"50.30925139,14.15622582"
Kočov,Tachov,Kočově,"49.80877139,12.73665366"
Dobšín,Mladá Boleslav,Dobšíně,"50.48338299,15.11674604"
Františkov nad Ploučnicí,Děčín,Františkově nad Ploučnicí,"50.72578140,14.32701411"
Málkov,Beroun,Málkově,"49.88829355,14.02360442"
Manětín,Plzeň-sever,Manětíně,"49.99187909,13.23326003"
Hradčany,Nymburk,Hradčanech,"50.15803767,15.26993173"
Jestřabí v Krkonoších,Semily,Jestřabí v Krkonoších; Jestřabím v Krkonoších,"50.68056738,15.49182979"
Jeviněves,Mělník,Jeviněvsi,"50.34518800,14.33818698"
Jivina,Beroun,Jivině,"49.79353977,13.83769999"
Kaliště,Jihlava,Kališti; Kalištích,"49.24130957,15.30135104"
Kouty,Havlíčkův Brod,Koutech,"49.64884637,15.29303375"
Třebětice,Kroměříž,Třeběticích,"49.31939105,17.51926227"
Úlice,Plzeň-sever,Úlicích,"49.76089935,13.14822680"
Únětice,Plzeň-jih,Úněticích,"49.58439349,13.47005176"
Velká Lhota,Vsetín,Velké Lhotě,"49.43778861,18.03563306"
Vidnava,Jeseník,Vidnavě,"50.37234881,17.18633535"
Heřmaň,Písek,Heřmani,"49.23255439,14.13547122"
Komárov,Zlín,Komárově,"49.15069166,17.56876126"
Nevcehle,Jihlava,Nevcehli,"49.22578693,15.53444452"
Nechvalice,Příbram,Nechvalicích,"49.57662251,14.39660375"
Ostrov,Příbram,Ostrově,"49.61120031,14.01454811"
Počepice,Příbram,Počepicích,"49.59608917,14.38088314"
Tušovice,Příbram,Tušovicích,"49.57569430,14.03057497"
Volenice,Příbram,Volenicích,"49.54785882,13.88370878"
Vranovice,Příbram,Vranovicích,"49.62270968,13.89901312"
Zalužany,Příbram,Zalužanech,"49.54230819,14.08594747"
Zduchovice,Příbram,Zduchovicích,"49.63866272,14.20898446"
Crhov,Blansko,Crhově,"49.54504226,16.43475763"
Horní Věstonice,Břeclav,Horních Věstonicích,"48.87457991,16.62555361"
Vanov,Jihlava,Vanově,"49.20773060,15.41365347"
Vanůvek,Jihlava,Vanůvku,"49.22254276,15.42264705"
Veliká Ves,Praha-východ,Veliké Vsi,"50.24368953,14.45515774"
Vlastec,Písek,Vlastci,"49.36564917,14.21172346"
Mažice,Tábor,Mažicích,"49.21357207,14.61283778"
Mladkov,Ústí nad Orlicí,Mladkově,"50.09687901,16.62698594"
Němětice,Strakonice,Něměticích,"49.19470908,13.87899667"
Nový Dům,Rakovník,Novém Domě; Novém Domu,"50.08822403,13.83096374"
Kozárov,Blansko,Kozárově,"49.44386542,16.45868623"
Ledenice,České Budějovice,Ledenicích,"48.93336276,14.61887071"
Librantice,Hradec Králové,Libranticích,"50.24230390,15.95982069"
Lipec,Kolín,Lipci,"50.08503756,15.36463154"
Malíkovice,Kladno,Malíkovicích,"50.21148368,13.98262660"
Menhartice,Třebíč,Menharticích,"48.99000618,15.55251681"
Mezholezy,Domažlice,Mezholezích,"49.41182471,13.10387945"
Černiv,Litoměřice,Černivi,"50.44502505,14.05903011"
Dolní Radechová,Náchod,Dolní Radechové,"50.43837257,16.15132115"
Dolní Zimoř,Mělník,Dolní Zimoři,"50.42668740,14.50145390"
Občov,Příbram,Občově,"49.71318657,14.06693760"
Pálovice,Třebíč,Pálovicích,"49.00557152,15.53756158"
Plchovice,Ústí nad Orlicí,Plchovicích,"50.04511688,16.18125773"
Postupice,Benešov,Postupicích,"49.72805286,14.77726844"
Přestavlky,Plzeň-jih,Přestavlkách,"49.59985625,13.24441474"
Předslav,Klatovy,Předslavi,"49.44756872,13.35441459"
Sebečice,Rokycany,Sebečicích,"49.86995250,13.69220820"
Záryby,Praha-východ,Zárybech,"50.22064679,14.62595329"
Zubrnice,Ústí nad Labem,Zubrnicích,"50.64953265,14.22048486"
Hradiště,Rokycany,Hradišti,"49.96310726,13.71769451"
Chářovice,Benešov,Chářovicích,"49.82032331,14.57791651"
Chvalovice,Prachatice,Chvalovicích,"49.01042904,14.23171258"
Kořenice,Kolín,Kořenicích,"49.97717421,15.14092655"
Kostelní Vydří,Jindřichův Hradec,Kostelním Vydří,"49.10611676,15.42167005"
Křídlůvky,Znojmo,Křídlůvkách,"48.78202513,16.23718238"
Litíč,Trutnov,Litíči,"50.37519701,15.84845872"
Drahkov,Plzeň-jih,Drahkově,"49.55725231,13.47247483"
Drážov,Strakonice,Drážově,"49.16740240,13.74062422"
Džbánice,Znojmo,Džbánicích,"49.00129827,16.21094073"
Hluboká,Chrudim,Hluboké,"49.84561913,16.07159797"
Hodov,Třebíč,Hodově,"49.29402073,15.98386817"
Horky,Kutná Hora,Horkách,"49.86881584,15.43984910"
Olbramovice,Benešov,Olbramovicích,"49.66729130,14.63948626"
Šebestěnice,Kutná Hora,Šebestěnicích,"49.82949630,15.36536276"
Štipoklasy,Kutná Hora,Štipoklasech,"49.82466397,15.21334007"
Třebětín,Kutná Hora,Třebětíně,"49.77079599,15.26941046"
Tupadly,Kutná Hora,Tupadlech; Tupadlích,"49.86905606,15.40351098"
Úžice,Kutná Hora,Úžicích,"49.87226865,14.97261373"
Vidice,Kutná Hora,Vidicích,"49.91666825,15.16555107"
Vlastějovice,Kutná Hora,Vlastějovicích,"49.73136325,15.17483799"
Zbraslavice,Kutná Hora,Zbraslavicích,"49.81184844,15.18324460"
Zruč nad Sázavou,Kutná Hora,Zruči nad Sázavou,"49.74016416,15.10610892"
Bělá pod Bezdězem,Mladá Boleslav,Bělé pod Bezdězem,"50.50127765,14.80427587"
Bílá Hlína,Mladá Boleslav,Bílé Hlíně,"50.53256540,14.92534472"
Hostín u Vojkovic,Mělník,Hostíně u Vojkovic,"50.29714952,14.39704651"
Kozomín,Mělník,Kozomíně,"50.23689217,14.37118627"
Medonosy,Mělník,Medonosích; Medonosech,"50.49422681,14.48703369"
Lom,Tábor,Lomu; Lomě,"49.36292710,14.62833636"
Strážkovice,České Budějovice,Strážkovicích,"48.89965540,14.56939199"
Sudice,Blansko,Sudicích,"49.52992574,16.66855658"
Sukorady,Jičín,Sukoradech,"50.32549522,15.58278379"
Tasovice,Blansko,Tasovicích,"49.49597385,16.44156040"
Těchonín,Ústí nad Orlicí,Těchoníně,"50.06495751,16.61797457"
Terešov,Rokycany,Terešově,"49.89676956,13.69980201"
Úherce,Plzeň-sever,Úhercích,"49.70147543,13.21376396"
Velké Všelisy,Mladá Boleslav,Velkých Všelisech; Velkých Všelisích,"50.37910251,14.74514822"
Vlkov,Náchod,Vlkově,"50.31266304,15.89846866"
Vojtěchov,Chrudim,Vojtěchově,"49.78858991,15.97355224"
Volárna,Kolín,Volárně,"50.09183413,15.24051822"
Kostelní Myslová,Jihlava,Kostelní Myslové,"49.14786136,15.42890393"
Kulířov,Blansko,Kulířově,"49.37934341,16.84683324"
Oslavany,Brno-venkov,Oslavanech,"49.12338021,16.33654109"
Pasohlávky,Brno-venkov,Pasohlávkách,"48.90298991,16.54364367"
Zálesná Zhoř,Brno-venkov,Zálesné Zhoři,"49.25022072,16.28976530"
Karlštejn,Beroun,Karlštejně,"49.93742916,14.18611170"
Lochovice,Beroun,Lochovicích,"49.85326785,13.98132332"
Mořina,Beroun,Mořině,"49.95291683,14.20869655"
Velký Chlumec,Beroun,Velkém Chlumci,"49.82776930,14.08707689"
Blevice,Kladno,Blevicích,"50.20980155,14.23623697"
Doksy,Kladno,Doksech; Doksích,"50.11908231,14.04789427"
Dřínov,Kladno,Dřínově,"50.27564272,14.06982721"
Strašnov,Mladá Boleslav,Strašnově,"50.35157582,14.88926631"
Ujkovice,Mladá Boleslav,Ujkovicích,"50.36683482,15.09971764"
Žerčice,Mladá Boleslav,Žerčicích,"50.37422268,15.03599758"
Dobřeň,Mělník,Dobřeni,"50.47947423,14.55679562"
Dřínov,Mělník,Dřínově,"50.27372696,14.39758294"
Jiřice,Nymburk,Jiřicích,"50.25249637,14.83693140"
Košík,Nymburk,Košíku,"50.31831015,15.13413257"
Popovičky,Praha-východ,Popovičkách,"49.96261361,14.59786061"
Slavíkovice,Třebíč,Slavíkovicích,"49.00434064,15.62435962"
Stebno,Ústí nad Labem,Stebně,"50.61518210,14.01730988"
Svaté Pole,Příbram,Svatém Poli,"49.75139724,14.16903048"
Všeradov,Chrudim,Všeradově,"49.74774244,15.83724254"
Prosíčka,Havlíčkův Brod,Prosíčce,"49.72722508,15.32227054"
Tuřany,Cheb,Tuřanech,"50.08412854,12.52205878"
Vraný,Kladno,Vraném,"50.32716909,14.01722633"
